date,s_p50,s_eci,p1,s_gpu,s_or,s_hf,s_llm_tk,p2,s_capex_yoy,s_beat,p3,s_arr_yoy,s_arr_mom,p4,aixi,regime,raw_p50_months,raw_eci_slope,raw_gpu_mom_pct,raw_or_wow_pct,raw_hf_grow_pct,raw_llm_tk_growth_pct,raw_capex_yoy_pct,raw_beat_pct,raw_arr_yoy_pct
2026-05-02,8,8,8.0,6,,,,6.0,,8,8.0,10,10,10.0,8.0,EXPANSION,3.47,13.09,0.0,,,,,,1400.0
2026-05-03,8,8,8.0,6,,,,6.0,,8,8.0,10,10,10.0,8.0,EXPANSION,3.47,13.09,0.0,,,,,,1400.0
2026-05-04,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.1,0.0,,,,,,1400.0
2026-05-05,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.1,0.0,,,,,,1400.0
2026-05-06,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.1,0.0,,,,,,1400.0
2026-05-07,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.1,0.0,,,,,,1400.0
2026-05-08,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.1,0.0,,,,,,1400.0
2026-05-09,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.1,0.0,,,,,,1400.0
2026-05-10,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.1,0.0,,,,,,1400.0
2026-05-11,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.67,0.0,,,,,,1400.0
2026-05-12,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.67,0.0,,,,,,1400.0
2026-05-13,8,10,9.0,6,,,,6.0,,8,8.0,10,10,10.0,8.25,EXPANSION,3.47,14.67,0.0,,,,,,1400.0
2026-05-14,8,10,9.0,6,6,4,,5.33,,8,8.0,10,10,10.0,8.08,EXPANSION,3.47,14.67,0.0,7.02,0.34,,,,1400.0
